EXPNUM,EXPRA,EXPDEC,EXPTIME,AIRMASS,BAND,NITE,MJD_OBS,FIELD,OBJECT,PROGRAM
632400,177.323,-18.3142,180.0,1.33,g,20170319,57832.3172612,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632401,177.323,-18.3142,180.0,1.62,i,20170319,57832.3514253,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632402,177.297,-18.3142,180.0,1.65,g,20170319,57832.353848,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632403,177.297,-18.3142,180.0,1.76,i,20170319,57832.3622132,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632404,177.31,-18.3309,180.0,1.79,g,20170319,57832.3646352,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632405,177.31,-18.3309,180.0,1.82,i,20170319,57832.3670632,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632406,177.297,-18.3475,180.0,2.17,g,20170319,57832.3857578,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632526,177.31,-18.3309,180.0,2.09,g,20170320,57833.0066447,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632527,177.31,-18.3309,180.0,2.05,i,20170320,57833.0090578,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632528,177.297,-18.3475,180.0,2.0,g,20170320,57833.0114689,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632529,177.297,-18.3475,180.0,1.96,i,20170320,57833.013882,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632530,177.323,-18.3475,180.0,1.92,g,20170320,57833.0163034,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632531,177.323,-18.3475,180.0,1.88,i,20170320,57833.0187149,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632532,177.323,-18.3142,180.0,1.84,g,20170320,57833.0211472,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632533,177.323,-18.3142,180.0,1.8,i,20170320,57833.0235572,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632534,177.297,-18.3142,180.0,1.77,g,20170320,57833.025969,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632535,177.297,-18.3142,180.0,1.74,i,20170320,57833.0283887,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632537,177.31,-18.3309,180.0,1.67,g,20170320,57833.0332365,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632538,177.31,-18.3309,180.0,1.64,i,20170320,57833.0356457,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632543,177.297,-18.3475,180.0,1.51,g,20170320,57833.0483415,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632544,177.297,-18.3475,180.0,1.49,i,20170320,57833.0507699,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632549,177.323,-18.3475,180.0,1.39,g,20170320,57833.0634443,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632550,177.323,-18.3475,180.0,1.37,i,20170320,57833.0658798,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632555,177.323,-18.3142,180.0,1.29,g,20170320,57833.0790992,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632556,177.323,-18.3142,180.0,1.27,i,20170320,57833.0815291,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632561,177.297,-18.3142,180.0,1.21,g,20170320,57833.0950089,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632562,177.297,-18.3142,180.0,1.2,i,20170320,57833.097432,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632567,177.31,-18.3309,180.0,1.15,g,20170320,57833.1105736,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632568,177.31,-18.3309,180.0,1.14,i,20170320,57833.1130073,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632573,177.297,-18.3475,180.0,1.1,g,20170320,57833.1256598,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632574,177.297,-18.3475,180.0,1.1,i,20170320,57833.1280949,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632579,177.323,-18.3475,180.0,1.07,g,20170320,57833.1407669,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632580,177.323,-18.3475,180.0,1.07,i,20170320,57833.1432145,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632585,177.323,-18.3142,180.0,1.05,g,20170320,57833.1558636,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632586,177.323,-18.3142,180.0,1.04,i,20170320,57833.1582827,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632593,177.297,-18.3142,180.0,1.02,g,20170320,57833.1803842,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632594,177.297,-18.3142,180.0,1.02,i,20170320,57833.1828069,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632604,177.31,-18.3309,180.0,1.02,g,20170320,57833.1967081,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632605,177.31,-18.3309,180.0,1.02,i,20170320,57833.1991354,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632606,177.297,-18.3475,180.0,1.02,g,20170320,57833.2015582,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632607,177.297,-18.3475,180.0,1.02,i,20170320,57833.2039784,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632608,177.323,-18.3475,180.0,1.02,g,20170320,57833.2064012,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632609,177.323,-18.3475,180.0,1.03,i,20170320,57833.2088306,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632610,177.323,-18.3142,180.0,1.03,g,20170320,57833.2112484,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632611,177.323,-18.3142,180.0,1.03,i,20170320,57833.2136837,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632612,177.297,-18.3142,180.0,1.03,g,20170320,57833.2160921,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632613,177.297,-18.3142,180.0,1.03,i,20170320,57833.2185239,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632614,177.31,-18.3309,180.0,1.03,g,20170320,57833.2209509,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632615,177.31,-18.3309,180.0,1.04,i,20170320,57833.2233711,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632616,177.297,-18.3475,180.0,1.04,g,20170320,57833.2257804,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632617,177.297,-18.3475,180.0,1.04,i,20170320,57833.2281861,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632618,177.323,-18.3475,180.0,1.05,g,20170320,57833.2305999,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632619,177.323,-18.3475,180.0,1.05,i,20170320,57833.2330248,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632620,177.323,-18.3142,180.0,1.05,g,20170320,57833.2354387,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632621,177.323,-18.3142,180.0,1.06,i,20170320,57833.2378685,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632622,177.297,-18.3142,180.0,1.06,g,20170320,57833.2402753,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632623,177.297,-18.3142,180.0,1.06,i,20170320,57833.2427203,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632624,177.31,-18.3309,180.0,1.07,g,20170320,57833.2451266,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632625,177.31,-18.3309,180.0,1.07,i,20170320,57833.2475536,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632626,177.297,-18.3475,180.0,1.08,g,20170320,57833.2499843,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632627,177.297,-18.3475,180.0,1.08,i,20170320,57833.2524192,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632628,177.323,-18.3475,180.0,1.09,g,20170320,57833.2548459,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632629,177.323,-18.3475,180.0,1.09,i,20170320,57833.257281,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632630,177.323,-18.3142,180.0,1.1,g,20170320,57833.2596953,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632631,177.323,-18.3142,180.0,1.11,i,20170320,57833.262117,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632632,177.297,-18.3142,180.0,1.11,g,20170320,57833.2645291,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632633,177.297,-18.3142,180.0,1.12,i,20170320,57833.2669532,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632634,177.31,-18.3309,180.0,1.13,g,20170320,57833.2693782,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632635,177.31,-18.3309,180.0,1.14,i,20170320,57833.2717929,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632636,177.297,-18.3475,180.0,1.14,g,20170320,57833.2742016,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632637,177.297,-18.3475,180.0,1.15,i,20170320,57833.2766311,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632638,177.323,-18.3475,180.0,1.16,g,20170320,57833.279057,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632639,177.323,-18.3475,180.0,1.17,i,20170320,57833.2814708,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632640,177.323,-18.3142,180.0,1.18,g,20170320,57833.283887,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632641,177.323,-18.3142,180.0,1.19,i,20170320,57833.2862925,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632642,177.297,-18.3142,180.0,1.2,g,20170320,57833.288702,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632643,177.297,-18.3142,180.0,1.21,i,20170320,57833.2911338,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632644,177.31,-18.3309,180.0,1.22,g,20170320,57833.2935376,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632645,177.31,-18.3309,180.0,1.23,i,20170320,57833.2959626,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632646,177.297,-18.3475,180.0,1.24,g,20170320,57833.29838,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632647,177.297,-18.3475,180.0,1.25,i,20170320,57833.3008065,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632648,177.323,-18.3475,180.0,1.27,g,20170320,57833.3032144,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632649,177.323,-18.3475,180.0,1.28,i,20170320,57833.3056322,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632650,177.323,-18.3142,180.0,1.29,g,20170320,57833.3080381,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632651,177.323,-18.3142,180.0,1.31,i,20170320,57833.3104691,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632652,177.297,-18.3142,180.0,1.32,g,20170320,57833.3128761,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632653,177.297,-18.3142,180.0,1.34,i,20170320,57833.3152999,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632654,177.31,-18.3309,180.0,1.35,g,20170320,57833.3177267,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632655,177.31,-18.3309,180.0,1.37,i,20170320,57833.3201509,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632656,177.297,-18.3475,180.0,1.38,g,20170320,57833.3225575,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632657,177.297,-18.3475,180.0,1.4,i,20170320,57833.3249827,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632658,177.323,-18.3475,180.0,1.42,g,20170320,57833.3273821,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632659,177.323,-18.3475,180.0,1.44,i,20170320,57833.329815,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632660,177.323,-18.3142,180.0,1.46,g,20170320,57833.3322421,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632661,177.323,-18.3142,180.0,1.48,i,20170320,57833.3346869,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632662,177.297,-18.3142,180.0,1.5,g,20170320,57833.3371147,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632663,177.297,-18.3142,180.0,1.53,i,20170320,57833.3395441,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632664,177.31,-18.3309,180.0,1.55,g,20170320,57833.3419808,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632665,177.31,-18.3309,180.0,1.57,i,20170320,57833.3444056,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632666,177.297,-18.3475,180.0,1.6,g,20170320,57833.3468133,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632667,177.297,-18.3475,180.0,1.63,i,20170320,57833.3492188,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632668,177.323,-18.3475,180.0,1.65,g,20170320,57833.3516353,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632669,177.323,-18.3475,180.0,1.68,i,20170320,57833.3540476,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632670,177.323,-18.3142,180.0,1.71,g,20170320,57833.3564715,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632671,177.323,-18.3142,180.0,1.75,i,20170320,57833.358909,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632672,177.297,-18.3142,180.0,1.78,g,20170320,57833.3613264,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632673,177.297,-18.3142,180.0,1.82,i,20170320,57833.3637343,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632674,177.31,-18.3309,180.0,1.85,g,20170320,57833.3661712,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632675,177.31,-18.3309,180.0,1.89,i,20170320,57833.3685854,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632676,177.297,-18.3475,180.0,1.93,g,20170320,57833.3710109,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632677,177.297,-18.3475,180.0,1.97,i,20170320,57833.3734535,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632678,177.323,-18.3475,180.0,2.02,g,20170320,57833.3758698,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632679,177.323,-18.3475,180.0,2.07,i,20170320,57833.3782933,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632840,177.31,-18.3309,180.0,2.21,g,20170321,57833.998655,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632841,177.31,-18.3309,180.0,2.16,i,20170321,57834.0010604,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632842,177.297,-18.3475,180.0,2.11,g,20170321,57834.0034764,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632843,177.297,-18.3475,180.0,2.06,i,20170321,57834.0058873,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632844,177.323,-18.3475,180.0,2.01,g,20170321,57834.0083033,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632845,177.323,-18.3475,180.0,1.97,i,20170321,57834.010719,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632846,177.323,-18.3142,180.0,1.93,g,20170321,57834.0131216,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632847,177.323,-18.3142,180.0,1.89,i,20170321,57834.0155345,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632848,177.297,-18.3142,180.0,1.85,g,20170321,57834.0179453,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632849,177.297,-18.3142,180.0,1.81,i,20170321,57834.0203489,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632850,177.31,-18.3309,180.0,1.77,g,20170321,57834.0227733,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632851,177.31,-18.3309,180.0,1.74,i,20170321,57834.0251806,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632852,177.297,-18.3475,180.0,1.71,g,20170321,57834.0275987,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632853,177.297,-18.3475,180.0,1.68,i,20170321,57834.0300282,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632854,177.323,-18.3475,180.0,1.65,g,20170321,57834.0324508,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632855,177.323,-18.3475,180.0,1.62,i,20170321,57834.0348576,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632856,177.323,-18.3142,180.0,1.6,g,20170321,57834.0372668,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632857,177.323,-18.3142,180.0,1.57,i,20170321,57834.0396738,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632858,177.297,-18.3142,180.0,1.55,g,20170321,57834.0420788,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632859,177.297,-18.3142,180.0,1.52,i,20170321,57834.0444914,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632861,177.31,-18.3309,180.0,1.48,g,20170321,57834.0493567,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632862,177.31,-18.3309,180.0,1.46,i,20170321,57834.0517832,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632867,177.297,-18.3475,180.0,1.36,g,20170321,57834.064434,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632868,177.297,-18.3475,180.0,1.35,i,20170321,57834.0668594,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632873,177.323,-18.3475,180.0,1.27,g,20170321,57834.0795122,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632874,177.323,-18.3475,180.0,1.26,i,20170321,57834.0819475,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632879,177.323,-18.3142,180.0,1.19,g,20170321,57834.0957835,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632880,177.323,-18.3142,180.0,1.18,i,20170321,57834.098222,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632885,177.297,-18.3142,180.0,1.14,g,20170321,57834.1109183,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632886,177.297,-18.3142,180.0,1.13,i,20170321,57834.1133531,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632891,177.31,-18.3309,180.0,1.1,g,20170321,57834.1261481,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632892,177.31,-18.3309,180.0,1.09,i,20170321,57834.1285602,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632897,177.297,-18.3475,180.0,1.06,g,20170321,57834.1414111,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632898,177.297,-18.3475,180.0,1.06,i,20170321,57834.1438258,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632903,177.323,-18.3475,180.0,1.04,g,20170321,57834.1565304,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632904,177.323,-18.3475,180.0,1.04,i,20170321,57834.158969,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632909,177.323,-18.3142,180.0,1.03,g,20170321,57834.1716124,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632910,177.323,-18.3142,180.0,1.03,i,20170321,57834.174023,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632915,177.297,-18.3142,180.0,1.02,g,20170321,57834.1867041,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632916,177.297,-18.3142,180.0,1.02,i,20170321,57834.1891457,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632921,177.31,-18.3309,180.0,1.02,g,20170321,57834.2018216,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632922,177.31,-18.3309,180.0,1.02,i,20170321,57834.2042688,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632927,177.297,-18.3475,180.0,1.03,g,20170321,57834.2169741,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632928,177.297,-18.3475,180.0,1.04,i,20170321,57834.2194046,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632933,177.323,-18.3475,180.0,1.05,g,20170321,57834.2324473,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632934,177.323,-18.3475,180.0,1.06,i,20170321,57834.2348843,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632938,177.31,-18.3309,180.0,1.07,g,20170321,57834.2451604,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632939,177.31,-18.3309,180.0,1.08,i,20170321,57834.2475892,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632940,177.297,-18.3475,180.0,1.08,g,20170321,57834.2499906,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632941,177.297,-18.3475,180.0,1.09,i,20170321,57834.2524105,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632942,177.323,-18.3475,180.0,1.1,g,20170321,57834.254849,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632943,177.323,-18.3475,180.0,1.1,i,20170321,57834.2572821,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632944,177.323,-18.3142,180.0,1.11,g,20170321,57834.2597153,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632945,177.323,-18.3142,180.0,1.11,i,20170321,57834.2621353,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632946,177.297,-18.3142,180.0,1.12,g,20170321,57834.2645439,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632947,177.297,-18.3142,180.0,1.13,i,20170321,57834.266981,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632948,177.31,-18.3309,180.0,1.14,g,20170321,57834.2694032,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632949,177.31,-18.3309,180.0,1.14,i,20170321,57834.2718208,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632950,177.297,-18.3475,180.0,1.15,g,20170321,57834.2742454,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632951,177.297,-18.3475,180.0,1.16,i,20170321,57834.2766466,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632952,177.323,-18.3475,180.0,1.17,g,20170321,57834.2790516,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632953,177.323,-18.3475,180.0,1.18,i,20170321,57834.2814705,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632954,177.323,-18.3142,180.0,1.19,g,20170321,57834.2838783,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632955,177.323,-18.3142,180.0,1.2,i,20170321,57834.2863056,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632956,177.297,-18.3142,180.0,1.21,g,20170321,57834.2887139,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632957,177.297,-18.3142,180.0,1.22,i,20170321,57834.291132,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632958,177.31,-18.3309,180.0,1.23,g,20170321,57834.2935419,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632959,177.31,-18.3309,180.0,1.24,i,20170321,57834.2959782,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632960,177.297,-18.3475,180.0,1.25,g,20170321,57834.2984125,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632961,177.297,-18.3475,180.0,1.27,i,20170321,57834.3008376,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632962,177.323,-18.3475,180.0,1.28,g,20170321,57834.303265,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632963,177.323,-18.3475,180.0,1.29,i,20170321,57834.3056836,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632964,177.323,-18.3142,180.0,1.31,g,20170321,57834.3080866,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632965,177.323,-18.3142,180.0,1.32,i,20170321,57834.3105271,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632966,177.297,-18.3142,180.0,1.34,g,20170321,57834.3129364,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632967,177.297,-18.3142,180.0,1.35,i,20170321,57834.3153532,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632968,177.31,-18.3309,180.0,1.37,g,20170321,57834.3177858,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632969,177.31,-18.3309,180.0,1.39,i,20170321,57834.320222,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632970,177.297,-18.3475,180.0,1.41,g,20170321,57834.3226396,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632971,177.297,-18.3475,180.0,1.42,i,20170321,57834.3250826,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632972,177.323,-18.3475,180.0,1.44,g,20170321,57834.3275075,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632973,177.323,-18.3475,180.0,1.46,i,20170321,57834.3299433,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632974,177.323,-18.3142,180.0,1.48,g,20170321,57834.3323716,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632975,177.323,-18.3142,180.0,1.51,i,20170321,57834.3348169,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632976,177.297,-18.3142,180.0,1.53,g,20170321,57834.3372363,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632977,177.297,-18.3142,180.0,1.55,i,20170321,57834.3396781,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632978,177.31,-18.3309,180.0,1.58,g,20170321,57834.3420917,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632979,177.31,-18.3309,180.0,1.6,i,20170321,57834.3445153,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632980,177.297,-18.3475,180.0,1.63,g,20170321,57834.3469285,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632981,177.297,-18.3475,180.0,1.66,i,20170321,57834.3493525,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632982,177.323,-18.3475,180.0,1.69,g,20170321,57834.3517728,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632983,177.323,-18.3475,180.0,1.72,i,20170321,57834.3541766,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632984,177.323,-18.3142,180.0,1.75,g,20170321,57834.3565937,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632985,177.323,-18.3142,180.0,1.79,i,20170321,57834.3590156,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
632986,177.297,-18.3142,180.0,1.82,g,20170321,57834.3614288,,Crater II,The large but very diffuse Milky Way satellite galaxy Crater II: &
